id,datetime,type,desc,notes
95,03/31/2026 3:30:00,Strength,Upper,
96,4/1/2026,Strength,Deadlift,
97,4/3/2026,Strength,Lower,
98,4/4/2026,Strength,Upper,
99,4/6/2026,Strength,Juggernaut Week 4 Squat Cycle,
100,04/07/2026,Strength,Upper,
101,04/07/2026,Cardio,1.03mi Hard Run,
102,4/8/2026,Cardio,4.7mi Run,
103,04/09/2026,Strength,Lower,
104,4/10/2026,Cardio,Run,
105,4/11/2026 1:00:00,Strength,Thrusters,
106,4/11/2026,Cardio,Bike,
107,04/13/2026 12:30:00,Strength,Juggernaut Week 5 Squat Cycle,
108,4/15/2026 12:30:00,Hypertrophy,Hypetrophy Upper,
109,4/17/2026 12:30:00,Strength,Quick legs,
110,04/18/2026 4:30:00,Hypertrophy,Hypetrophy pull with colson,
111,04/19/2026 4:30:00,Hypertrophy,Hypetrophy push with colson,
112,4/20/2026,Strength,Lower,
113,4/21/2026 12:10:00 -> 12:45:00,Strength,Upper,
114,4/23/2026,Cardio,4.52mi Run,
115,4/24/2026,Strength,Lower,
116,4/25/2026,Cardio,2x 500m row,
117,4/27/2026,Strength,Quick Upper,
118,4/28/2026,Strength,Juggernaut Week 6 Squat + Abs,
119,4/28/2026,Cardio,3.11mi Run,
120,4/30/2026,Strength,Upper (Press + Pull + Arms),
121,5/1/2026,Strength,Lower (Pause Front Squat + Posterior),
122,5/1/2026,Cardio,5.56mi Run,
123,5/2/2026,Strength,Upper (Bench + Pull ups + Dips),
124,5/4/2026,Strength,Lower (Squat + Calves + Abs),
125,5/5/2026,Strength,Upper (Press + Pull Hypertrophy),
126,5/6/2026,Strength,Deadlift + Pull Accessories,
127,5/9/2026,Cardio,500m Row Sprint,
128,5/11/2026,Strength,Lower (Squat + Lunges + Abs),
129,5/12/2026,Strength,Upper (Bench + Back + Arms),
130,5/13/2026,Strength,Deadlift,
131,5/13/2026,Cardio,4.15mi Run,
132,5/14/2026,Strength,Upper (Bench + Push Press + Arms),
133,5/15/2026,Strength,Lower (Front Squat + Squat + Accessories),
134,5/15/2026,Cardio,5000m Row,
135,5/17/2026,Cardio,6.25mi Run,
136,5/18/2026,Strength,Upper (Press/Pull Supersets),
137,5/18/2026,Cardio,8.06mi Run,
138,5/20/2026,Cardio,4.17mi Run,
139,5/22/2026,Cardio,15.6mi Long Run,
140,5/25/2026,Strength,Lower (Squat + Posterior + Abs),
141,5/26/2026,Cardio,3.79mi Run,
142,5/27/2026,Strength,Upper (Full Push + Pull Hypertrophy),
143,5/29/2026,Strength,Upper (Press + Pull + Dips),
144,5/30/2026,Cardio,2.98mi Run,
145,5/31/2026,Cardio,6.3mi Run,
146,06/01/2026,Strength,Juggernaut Week 11,
