workout_id,id,movement,type,rest,plan,notes
20,40,db rotator cuff,prehab,,,
20,41,sa kb overhead squat,prehab,,,
22,42,clean,strength,,singles,
23,43,seated strict press,strength,,"4,4,3,3,2",
23,44,sa db row,hypertrophy,,,
25,45,deadlift,strength,,5x3,
26,46,split jerk,strength,,"2,2,2,1,1,1",
27,47,segmented clean + hang power clean,strength,,"1,1,1,1,1",Pause at power positions deadlift -> hang shrug -> hang power
28,48,snatch,strength,,,
28,49,front squat,strength,,,
29,50,pull ups,hypertrophy,,,
29,51,ring pull ups,hypertrophy,,,
29,52,dips,hypertrophy,,,
29,53,v-ups,abs,,,
29,54,db bench,hypertrophy,,,
30,55,pause squat,strength,,,
30,56,ghd back extensions,prehab,,,
31,57,snatch balance,technique,,,
31,58,clean,strength,,,
32,59,strict press,strength,,"3, 3, 2, 2, 2",
32,60,sa db row,hypertrophy,,,
34,61,deadlift,strength,on 2 min clock,"5, 5, 4, 4, 4 w/ 3 second eccentric on 2 minute clock","Start with higher hips and sit back further, i. was clean deadlifting before"
35,62,power snatch,strength endurance,for time,20 snatches @ 95,
35,63,snatch,technique,,,
36,64,split jerk,strength,,,
38,65,squat,strength,as much as need,1rm,"Ugh, I failed my first 285 and then the next one was pretty easy. Do not have the powerlifting form down and was a little nervous."
38,66,bench,strength,as much as need,1rm,205 f 2 in warm up was so light. 225 was smooth. Then I went for 235 and just grinded too hard for a failure. Have a lot more here
38,67,deadlift,strength,as much as need,1rm,Impressed myself a lot. 350 felt upper limits and was slow to get up but man we did it lfg
40,68,squat,strength,on 2 min clock,,
40,69,db rdl,hypertrophy,,,
40,70,backwards resistance treadmill,prehab,,,
40,71,db calf raise,strength,,,
42,72,strict press,strength,on 2 min clock,,
42,73,push jerk,strength endurance,,,
42,74,strict ctb ,strength,,,
43,75,snatch complex,technique,,,
44,76,front squat,strength,on 2 min clock,,
44,77,atg back extension,prehab,,,
44,78,forwards resistance treadmill,power,,,
45,79,split jerk,strength,on 2 min clock,"2, 2, 2, then singles",Form is still bad needs work
45,80,sa db row,hypertrophy,,,
46,81,clean,strength endurance,on 1:30 clock,"3,3,3,3,3",
46,82,overhead squat,strength,,,
46,83,kot elevated lunge,prehab,,,
46,84,sa db snatch,technique,,,
46,85,db rdl,strength endurance,,,
47,86,bench,strength endurance,on 2 min clock,5x5,
47,87,ctb pull ups,strength,,,
47,88,db rotator cuff,prehab,,,
47,89,cable face pull,hypertrophy,,,
47,90,rope pulldown,hypertrophy,,,
47,91,push ups,hypertrophy,,,
47,92,db inc curl,hypertrophy,,,
47,93,pull ups,strength,,,
48,94,strict press,strength endurance,on 2 min clock,4x8 @ 60-65%,
48,95,push press,strength endurance,on 2 min clock,1x8 at finished weight of 94,
49,96,power clean,strength endurance,20 reps for time @ 155,,
50,97,deadlift,strength,on 2 min clock,3 second ecc,
52,98,sa db press,strength endurance,on 2 min clock,"3 second ecc, ss with 99",
52,99,db bench,strength endurance,on 2 min clock,"3 second ecc, ss with 98",
53,100,clean complex,strength,on 2 min clock,segmented clean deadlift + segment hang full clean,
55,101,front squat,strength,,post metcon,
56,102,bench complex,strength endurance,on 2 min clock,"3x5, 3x6, 3x7 unbroken wide, standard, narrow grip",
56,103,decline bench,strength endurance,on 2 min clock,"12, 10, 8, 6",
56,104,bb row,strength endurance,on 2 min clock,3x10 SS with 105,
56,105,bb high pull,strength endurance,on 2 min clock,3x10 SS with 104,
56,106,bb reverse row,strength endurance,on 2 min clock,3x10 SS with 107,
56,107,bb pendlay row,strength endurance,on 2 min clock,3x10 SS with 106,
56,108,curl circuit,strength endurance,,"30 seconds on, 20 off: BB Curl, Reverse Curl, 1/2 Curl, Curl to Overhead",
57,109,squat,strength,,,
57,110,ghd back extension,prehab,,,
60,111,deadlifts,strength,on 2 min clock,3 second eccentric,
62,112,sa db press,strength endurance,,"3 second ecc, ss with 99",
62,113,db bench,strength endurance,,"3 second ecc, ss with 98",
63,114,power clean complex,strength,on 2 min clock,clean deadlift w/ pauses into power clean,
65,115,bench,hypertrophy,,,
65,116,underhand fly,hypertrophy,,,
65,117,push ups,hypertrophy,,,
65,118,db inc bench,hypertrophy,,,
65,119,chest fly,hypertrophy,,,
65,120,db floor press,hypertrophy,,,
65,121,landmine press,hypertrophy,,,
65,122,db row,hypertrophy,,,
65,123,curl circuit,hypertrophy,30 sec on 25 off of 4 different curls,,
66,124,squat,strength,,,
67,125,strict press,strength,,,
67,126,push press,strength,,,
73,127,snatch,technique,,,
73,128,snatch balance,technique,,,
75,129,clean complex,strength,,,
75,130,clean,strength,,,
79,131,snatch high pull,strength,1-5 20 min EMOM,,
79,132,hang snatch,strength,6-10 20 min EMOM,,
79,133,snatch,strength,11-20 20 min EMOM,"Pull close to body, legs wide and angled out not shins bending over, and its just a bar don't be fucking scared of it",
80,134,power clean,strength,1:30 clock,touch n go,
81,135,squat,strength,,1RM,
85,136,wide grip bench,hypertrophy,,,
85,137,push ups,hypertrophy,,,
85,138,close grip bench,hypertrophy,,,
85,139,db tri extension,hypertrophy,,,
85,140,row circuit,hypertrophy,,,
86,141,curl circuit,hypertrophy,30 sec on 25 off of 5 different curls,,
87,142,squat,strength,,,
87,143,back extension,prehab,,,
87,144,strict press,strength,,,
87,145,weighted pull ups,strength,,,
87,146,sa db row,hypertrophy,,,
87,147,db snatch,strength,,,
87,148,db inc curl,hypertrophy,,,
87,149,rope tri,hypertrophy,,,
89,150,front squat,strength,,,
89,151,abs,abs,,,
89,152,weighted pull up,strength,,,
89,153,bench,strength,,,
88,154,machine row,hypertrophy,,,
88,155,ring row,prehab,,,
88,156,face pull,prehab,,,
88,157,atg rotator cuff,prehab,,,
88,158,db curl,hypertrophy,,,
88,159,overhead rope tri,hypertrophy,,,
88,160,push ups,hypertrophy,,,
88,161,db rdl,hypertrophy,,,
88,162,wall ball,conditioning,,,
91,163,squat,strength,,,
91,164,atg shoulder roto,prehab,,,
91,165,kb shoulder walks,prehab,,,
91,166,sa kb press,hypertrophy,,,
90,167,strict press,strength,,,
90,168,weighted pull up,strength,,,
90,169,lat push down,hypertrophy,,,
90,170,ring row,prehab,,,
90,171,overhead rope tri,hypertrophy,,,
90,172,push ups,hypertrophy,,,
90,173,rope hammer curl,hypertrophy,,,
90,174,rope ab,hypertrophy,,,
90,175,hanging knee raise,abs,,,
93,176,pause front squat,strength,,,
93,177,walking db lunge,hypertrophy,,,
93,178,sled push,prehab,,,
93,179,rope ab,hypertrophy,,,
93,180,hanging knee raise,abs,,,
94,181,power clean,strength,,,
94,182,squat,strength,,,
94,183,overhead squat,strength,,,
94,184,front rack lunge,hypertrophy,,,
95,185,db inc press,hypertrophy,,,
95,186,weighted pull ups,strength,,,
95,187,pull ups,hypertrophy,,,
95,188,db raise,hypertrophy,,,
95,189,tri push down,hypertrophy,,,
95,190,rope ab,hypertrophy,,,
95,191,db curl,hypertrophy,,,
95,192,ghd sit ups,abs,,,
96,193,tempo deadlift,strength,,,
96,194,back extension,prehab,,,
96,195,decline ab,hypertrophy,,,
96,196,front squat,strength,,,
96,197,push jerk,strength,,,
96,198,,,,,
98,199,bench,strength,,,
98,200,pull ups,hypertrophy,,,
98,201,lat pd,hypertrophy,,,
98,202,inc db bench,strength,,,
98,203,cable row,hypertrophy,,,
98,204,db curl,hypertrophy,,,
97,205,squat,strength,,,
97,206,walking db lungs,hypertrophy,,,
97,207,strict press,strength,,,
97,208,weighted pull up,strength,,,
97,209,db inc bench,strength,,,
97,210,db inc curl,hypertrophy,,,
97,211,dips,hypertrophy,,,
97,212,db skull,hypertrophy,,,
103,213,deadlift,strength,,,
103,214,db rdl,hypertrophy,,,
103,215,back extension,prehab,,,
103,216,decline ab,hypertrophy,,,
100,217,bench,strength,,,
100,218,machine row,hypertrophy,,,
100,219,overhead v tri,hypertrophy,,,
100,220,dips,hypertrophy,,,
100,221,db inc curl,hypertrophy,,,
105,222,thrusters,strength,,,
105,223,squat,strength,,,
113,224,strict press,strength,,,
113,225,lat pd,hypertrophy,,,
113,226,db inc bench,strength,,,
113,227,db inc curl,hypertrophy,,,
113,228,overhead v tri,hypertrophy,,,
113,229,weighted pull up,strength,,,
113,230,lat push down,hypertrophy,,,
113,231,cable row,hypertrophy,,,
113,232,cable curl,hypertrophy,,,
113,233,decline sit up,abs,,,
113,234,hammer curl,hypertrophy,,,
117,235,strict press,strength,,,
117,236,bench,strength,,,
117,237,incline bench,strength,,,
117,238,lat raise,hypertrophy,,,
117,239,pec dec,hypertrophy,,,
117,240,katana tri,hypertrophy,,,
117,241,dip,hypertrophy,,,
114,242,squat,strength,,,
114,243,leg extension,hypertrophy,,,
114,244,calf machine,hypertrophy,,,
114,245,dragon ab,abs,,,
120,246,strict press,strength,,,
120,247,weighted pull up,strength,,,
120,248,db inc bench,strength,,,
120,249,db inc curl,hypertrophy,,,
120,250,rope face pull,prehab,,,
120,251,rope cable tri,hypertrophy,,,
120,252,dips,hypertrophy,,,
120,253,hammer curl,hypertrophy,,,
121,254,pause front squat,strength,,,
121,255,db rdl,hypertrophy,,,
121,256,back extension,prehab,,,
121,257,decline sit ups,abs,,,
123,258,bench,strength,,,
123,259,pull ups,hypertrophy,,,
123,260,dips,hypertrophy,,,
124,261,squat,strength,,,
124,262,decline sit up,abs,,,
124,263,dragon ab raise,abs,,,
124,264,calf machine,hypertrophy,,,
125,265,strict press,strength,,,
125,266,pull ups,hypertrophy,,,
125,267,lat pd,hypertrophy,,,
125,268,cable row ss,hypertrophy,,,
125,269,reverse lat pd ss,hypertrophy,,,
125,270,push ups as,hypertrophy,,,
125,271,dips,hypertrophy,,,
125,272,db inc curls,hypertrophy,,,
125,273,db hammer curls,hypertrophy,,,
125,274,overhead rope tri,hypertrophy,,,
126,275,deadlift,strength,,,
126,276,back extension,prehab,,,
126,277,db hammer curl,hypertrophy,,,
126,278,weighted pull ups,strength,,,
126,279,cable row,hypertrophy,,,
126,280,cable curl,hypertrophy,,,
126,281,tri push down,hypertrophy,,,
128,282,squat,strength,,,
128,283,decline ab,hypertrophy,,,
128,284,dragon leg raise,abs,,,
128,285,db walking lunges,hypertrophy,,,
128,286,single leg db rdl,hypertrophy,,,
129,287,bench,strength,,,
129,288,lat pd,hypertrophy,,,
129,289,cable row,hypertrophy,,,
129,290,db inc press,hypertrophy,,,
129,291,rope hammer curl,hypertrophy,,,
129,292,preacher machine,hypertrophy,,,
130,293,deadlift,strength,,,
132,294,bench,strength,,,
132,295,push press,strength,,,
132,296,pull ups,hypertrophy,,,
132,297,side raises,hypertrophy,,,
132,298,rope tri,hypertrophy,,,
132,299,db inc curl,hypertrophy,,,
132,300,db alt curl,hypertrophy,,,
132,301,dips,hypertrophy,,,
132,302,cable row,hypertrophy,,,
133,303,pause front squat,strength,,,
133,304,squat,strength,,,
133,305,bulgarian split squats,strength,,,
133,306,slow leg extension,hypertrophy,,,
133,307,inc sit up,abs,,,
133,308,dragon leg raise,abs,,,
133,309,inc sit up,abs,,,
133,310,dragon leg raise,abs,,,
133,311,sl calf raise,prehab,,,
135,312,strict press,strength,,,
135,313,slow pull ups,hypertrophy,,,
135,314,strict press,strength,,,
135,315,slow pull ups,hypertrophy,,,
135,316,strict press,strength,,,
135,317,slow pull ups,hypertrophy,,,
135,318,db inc bench,strength,,,
135,319,cable row,hypertrophy,,,
135,320,overhead rope tri,hypertrophy,,,
139,321,squat,strength,,,
139,322,db lunges,hypertrophy,,,
139,323,db rdl,hypertrophy,,,
139,324,leg extension,hypertrophy,,,
139,325,back extension,prehab,,,
139,326,back extension,prehab,,,
139,327,back extension,prehab,,,
139,328,incline sit up,abs,,,
139,329,dragon leg raise,abs,,,
139,330,machine calf raise,hypertrophy,,,
141,331,strict press,strength,,,
141,332,bench,strength,,,
141,333,lat pd,hypertrophy,,,
141,334,tri overhead,hypertrophy,,,
141,335,db inc curl,hypertrophy,,,
141,336,push ups,hypertrophy,,,
141,337,pull ups,hypertrophy,,,
141,338,dips,hypertrophy,,,
141,339,chest flies,hypertrophy,,,
141,340,preacher curl,hypertrophy,,,
142,341,strict press,strength,,,
142,342,pull ups,hypertrophy,,,
142,343,dips,hypertrophy,,,
142,344,machine press,hypertrophy,,,
142,345,dips,hypertrophy,,,
142,346,machine press,hypertrophy,,,
142,347,db curl,hypertrophy,,,
142,348,rope tri,hypertrophy,,,
146,349,squat,strength,,,
146,350,decline ab,hypertrophy,,,
146,351,dragon leg raise,hypertrophy,,,
146,352,machine calf raise,hypertrophy,,,
147,353,bench,hypertrophy,,,
147,354,pull ups,hypertrophy,,,
147,355,machine shoulder press,hypertrophy,,,
147,356,dips,hypertrophy,,,
147,357,machine row,hypertrophy,,,
147,358,overhead rope tri,hypertrophy,,,
147,359,preacher curl,hypertrophy,,,
