lift_id,movement,set_number,weight,reps,rpe,set_type,notes
68,squat,2,215,5,8,,
68,squat,3,215,5,8.5,,
68,squat,4,215,5,8.5,,
68,squat,5,225,5,9.5,,
69,db rdl,1,75,12,7,,
69,db rdl,2,75,12,7.5,,
69,db rdl,3,75,12,7.5,,
70,backwards resistance treadmill,1,9,10,NA,,
71,db calf raise,1,55,20,7.5,,
71,db calf raise,2,,20,7.5,,
71,db calf raise,3,,20,7.5,,
72,strict press,1,115,3,8,,
72,strict press,2,115,3,8.5,,
72,strict press,3,115,3,9,,
72,strict press,4,115,3,9,,
72,strict press,5,115,3,9,,
72,strict press,6,115,3,9.5,,
73,push jerk,1,115,8,8,,
73,push jerk,2,115,8,8,,
73,push jerk,3,115,8,8,,
74,strict ctb ,1,0,5,7,,
74,strict ctb ,2,0,5,7,,
74,strict ctb ,3,0,5,7,,
74,strict ctb ,4,0,5,7,,
75,snatch complex,1,95,5,7,,
75,snatch complex,2,95,5,7,,
76,front squat,1,175,3,7.5,,
76,front squat,2,185,3,8,,
76,front squat,3,195,3,8.5,,
76,front squat,4,195,3,9,,
76,front squat,5,195,3,9,,Plate bumped at bottom of first rep but grinded out the rest
77,atg back extension,1,40,15,7,,
77,atg back extension,2,40,15,7,,
77,atg back extension,3,40,15,8,,
78,forwards resistance treadmill,1,10,10,NA,,
78,forwards resistance treadmill,2,10,10,NA,,
78,forwards resistance treadmill,3,10,10,NA,,
79,split jerk,1,2,155,7.5,,
79,split jerk,2,2,155,7.5,,
79,split jerk,3,2,165,8,,
79,split jerk,4,1,175,8.5,,
79,split jerk,5,1,175,8.5,,
79,split jerk,6,1,175,8.5,,
79,split jerk,7,1,185,9,,
79,split jerk,8,1,185,9,,
80,sa db row,1,12,60,8.5,,
80,sa db row,2,10,60,9,,
81,clean,1,155,3,7.5,,
81,clean,2,165,3,8,,
81,clean,3,165,3,8.5,,
81,clean,4,165,3,8.5,,
81,clean,5,165,3,8.5,,
82,overhead squat,1,65,5,6.5,,
82,overhead squat,2,65,5,6.5,,
82,overhead squat,3,65,7,6.5,,
83,kot elevated lunge,1,40,12,7.5,,
83,kot elevated lunge,2,40,12,7.5,,
84,sa db snatch,1,60,10,7,,
84,sa db snatch,2,60,10,7,,
84,sa db snatch,3,60,20,8.5,,
85,db rdl,1,75,12,7,,
85,db rdl,2,75,12,7.5,,
85,db rdl,3,75,12,8,,
86,bench,1,185,5,8.5,,
86,bench,2,185,5,8.5,,
86,bench,3,185,5,9,,
86,bench,4,185,4,9,,
86,bench,5,185,4,9.5,,
87,ctb pull ups,1,0,5,7,,
87,ctb pull ups,2,0,5,7,,
88,db rotator cuff,1,10,15,7,,
88,db rotator cuff,2,10,15,7,,
89,cable face pull,1,35,13,7,,
89,cable face pull,2,35,13,7,,
89,cable face pull,3,35,13,7,,
90,rope pulldown,1,40,10,8,,
90,rope pulldown,2,40,10,8,,
90,rope pulldown,3,40,8,8,,
91,push ups,1,0,12,7,,
91,push ups,2,0,12,7,,
91,push ups,3,0,12,7,,
92,db inc curl,1,20,11,7.5,,
92,db inc curl,2,20,11,8,,
92,db inc curl,3,20,6,8.5,,
93,pull ups,1,0,8,8.5,,
93,pull ups,2,0,7,8.5,,
93,pull ups,3,0,4,8.5,,
94,strict press,1,85,8,7,,
94,strict press,2,85,8,7.5,,
94,strict press,3,90,8,9,,
94,strict press,4,90,8,9.5,,
95,push press,1,90,8,9,,
96,power clean,1,135,5,6.5,,
96,power clean,2,155,4,7.5,,
96,power clean,3,155,20,NA,,"3:10. Considering the first 10 took 45 seconds, not good"
97,deadlift,1,255,4,7,,
97,deadlift,2,265,4,7.5,,
97,deadlift,3,285,3,8.5,,
97,deadlift,4,295,3,9,,
97,deadlift,5,300,3,9.5,,
98,sa db press,1,30,12,8.5,,
99,db bench,1,45,12,8.5,,
98,sa db press,2,30,12,9,,
99,db bench,2,45,10,9,,
98,sa db press,3,30,10,9.5,,
99,db bench,3,45,10,9.5,,
98,sa db press,4,30,10,9.5,,
99,db bench,4,45,8,9.5,,
100,clean complex,1,155,1,7,,
100,clean complex,2,175,1,8,,
100,clean complex,3,185,1,9.5,,
100,clean complex,4,185,1,9,,
100,clean complex,5,190,1,9,,Smooth man. Jules said form is tight
101,front squat,1,185,3,8.5,,
101,front squat,2,185,3,8.5,,
101,front squat,3,185,3,8.5,,
101,front squat,4,195,3,9,,
101,front squat,5,195,3,9.5,,
102,bench complex,1,155,15,9,,burners
102,bench complex,2,135,16,9.5,,
102,bench complex,3,115,15,9.5,,
103,decline bench,1,115,12,8,,
103,decline bench,2,125,10,8,,
103,decline bench,3,130,8,8,,
103,decline bench,4,135,6,8,,
104,bb row,1,95,10,6.5,,
105,bb high pull,1,95,6,9.5,,
104,bb row,2,95,10,7,,
105,bb high pull,2,95,10,9.5,,
104,bb row,3,95,10,7,,
105,bb high pull,3,95,8,9.5,,
106,bb reverse row,1,145,10,9,,
107,bb pendlay row,1,145,3,9.5,,
106,bb reverse row,2,115,10,8,,
107,bb pendlay row,2,115,6,9.5,,
106,bb reverse row,3,95,10,7.5,,
107,bb pendlay row,3,95,7,9.5,,
108,curl circuit,1,45,NA,9.5,,
108,curl circuit,2,45,NA,9.5,,
108,curl circuit,3,45,NA,9.5,,
109,squat,1,235,3,8,,
109,squat,2,235,3,8,,
109,squat,3,245,3,9,,
109,squat,4,255,2,9,,
109,squat,5,255,3,9.5,,
110,ghd back extension,1,0,17,7,,
111,deadlift,1,275,3,7,,don't lift but first
111,deadlift,2,285,3,7.5,,
111,deadlift,3,285,3,7.5,,
111,deadlift,4,295,3,8.5,,
111,deadlift,5,315,3,9.5,,
112,sa db press,1,30,12,9,,
113,db bench,1,45,10,8.5,,
112,sa db press,2,30,12,9,,
113,db bench,2,45,10,8.5,,
112,sa db press,3,30,10,9,,
113,db bench,3,45,10,9,,
112,sa db press,4,30,10,9,,
113,db bench,4,45,10,8,,
114,power clean complex,1,185,1,7,,
114,power clean complex,2,205,1,8.5,,
114,power clean complex,3,205,1,8.5,,
114,power clean complex,4,215,0,NA,,
114,power clean complex,5,215,0,NA,,"thought i had it, am not stomping under it enough"
115,bench,1,115,10,6.5,,
116,underhand fly,1,20,10,9,,
117,push ups,1,0,10,8,,
115,bench,2,115,10,7,,
116,underhand fly,2,20,10,9,,
117,push ups,2,0,10,8,,
115,bench,3,115,10,7.5,,
116,underhand fly,3,20,10,9,,
117,push ups,3,0,10,9,,
115,bench,4,115,10,7.5,,
116,underhand fly,4,20,10,9.5,,
117,push ups,4,0,10,9.5,,
118,db inc bench,1,40,12,7.5,,
119,chest fly,1,20,10,9,,
120,db floor press,1,40,8,8.5,,
118,db inc bench,2,40,12,7.5,,
119,chest fly,2,20,10,9.5,,
120,db floor press,2,45,8,9.5,,
118,db inc bench,3,40,12,8,,
119,chest fly,3,20,10,10,,
120,db floor press,3,45,8,9.5,,
121,landmine press,1,45,10,8.5,,
122,db row,1,40,10,7,,
121,landmine press,2,45,8,9.5,,
122,db row,2,40,12,7,,
121,landmine press,3,45,6,9.5,,
122,db row,3,40,12,7,,
123,curl circuit,1,20,NA,10,,
124,squat,1,245,2,8,,
124,squat,2,255,2,8.5,,
124,squat,3,265,2,9,,
124,squat,4,275,2,9.5,,
124,squat,5,275,1,9.5,,
125,strict press,1,115,4,8.5,,
125,strict press,2,115,4,9,,
125,strict press,3,115,4,9.5,,
125,strict press,4,115,4,9.5,,
126,push press,1,115,4,8.5,,
127,snatch,1,95,1,7,,
127,snatch,2,95,1,7,,
127,snatch,3,95,1,7,,
127,snatch,4,105,1,7.5,,
127,snatch,5,105,1,7.5,,
127,snatch,6,105,1,7.5,,
128,snatch balance,1,95,3,7.5,,
128,snatch balance,2,95,4,7.5,,
128,snatch balance,3,95,4,7.5,,
129,clean complex,1,165,1,7,,
129,clean complex,2,175,1,8,,
129,clean complex,3,185,1,9,,
129,clean complex,4,185,0,NA,,
129,clean complex,5,185,1,9.5,,
129,clean complex,6,185,1,9.5,,
130,clean,1,185,1,9.5,,
131,snatch high pull,1,95,1,7.5,,
131,snatch high pull,2,115,1,7.5,,
131,snatch high pull,3,135,1,7.5,,
131,snatch high pull,4,135,1,7.5,,
131,snatch high pull,5,145,1,7.5,,
132,hang snatch,1,95,1,7.5,,
132,hang snatch,2,95,1,7.5,,
132,hang snatch,3,95,1,7.5,,
132,hang snatch,4,95,1,7.5,,
132,hang snatch,5,95,1,7.5,,
133,snatch,1,95,1,7.5,,
133,snatch,2,95,1,7.5,,
133,snatch,3,95,1,7.5,,
133,snatch,4,95,1,7.5,,
133,snatch,5,105,1,8,,
133,snatch,6,105,1,8,,
133,snatch,7,115,1,8.5,,
133,snatch,8,115,1,8.5,,
133,snatch,9,125,0,NA,,
133,snatch,10,125,1,9,,
134,power clean,1,185,3,8.5,,
134,power clean,2,185,3,0,,
134,power clean,3,195,3,9.5,,
134,power clean,4,195,3,9.5,,
134,power clean,5,200,2,10,,
135,squat,1,245,3,8.5,,
135,squat,2,255,2,8.5,,
135,squat,3,275,1,9.5,,
135,squat,4,285,0,10,,
135,squat,5,285,1,10,,
136,wide grip bench,1,135,12,7.5,,
137,push ups,1,0,10,8,,
136,wide grip bench,2,135,12,9,,
137,push ups,2,0,10,8.5,,
136,wide grip bench,3,135,8,10,,
137,push ups,3,0,4,10,,
138,close grip bench,1,115,8,8,,
139,db tri extension,1,40,12,9,,
138,close grip bench,2,115,8,9,,
139,db tri extension,2,40,5,10,,
138,close grip bench,3,115,8,10,,
139,db tri extension,3,0,5,10,,
140,row circuit,1,95,34,8.5,,
140,row circuit,2,95,34,8.5,,
141,curl circuit,1,20,NA,10,,
141,curl circuit,2,20,NA,10,,
141,curl circuit,3,20,NA,10,,
142,squat,1,175,10,7,,
142,squat,2,175,10,7.5,,
142,squat,3,175,10,8,,
142,squat,4,175,10,8,,
142,squat,5,175,14,9,,
143,back extension,1,30,12,7.5,,
143,back extension,2,30,12,7.5,,
143,back extension,3,30,12,7.5,,
144,strict press,1,115,4,9,,
144,strict press,2,115,4,9,,
144,strict press,3,125,3,9.5,,
144,strict press,4,125,4,10,,
144,strict press,5,125,3,10,,
145,weighted pull ups,1,35,6,9,,
145,weighted pull ups,2,35,6,9.5,,
145,weighted pull ups,3,35,6,9.5,,
146,sa db row,1,65,11,9,,
146,sa db row,2,65,10,9,,
147,db snatch,1,50,20,NA,,
147,db snatch,2,50,20,NA,,
147,db snatch,3,50,20,NA,,
148,db inc curl,1,20,15,9,,
149,rope tri,1,30,15,8.5,,
150,front squat,1,175,5,8.5,,
150,front squat,2,175,5,8.5,,
150,front squat,3,175,5,8.5,,
150,front squat,4,175,5,9,,
150,front squat,5,175,5,8,,
151,abs,1,0,NA,NA,,
151,abs,2,0,NA,NA,,
152,weighted pull up,1,30,7,8.5,,
152,weighted pull up,2,30,7,9,,
152,weighted pull up,3,50,3,9.5,,
153,bench,1,175,5,8,,
153,bench,2,175,6,9,,
153,bench,3,185,5,9,,
154,machine row,1,130,10,9,,
155,ring row,1,0,10,9,,
156,face pull,1,30,10,9,,
155,ring row,2,0,10,9,,
156,face pull,2,30,10,9,,
155,ring row,3,0,10,9,,
156,face pull,3,30,10,9,,
157,atg rotator cuff,1,15,8,9,,
157,atg rotator cuff,2,15,8,9,,
157,atg rotator cuff,3,15,8,9,,
158,db curl,1,20,18,9,,
159,overhead rope tri,1,30,18,9,,
160,push ups,1,0,15,9,,
161,db rdl,1,75,12,7,,
161,db rdl,2,75,15,8,,
161,db rdl,3,75,15,8,,
162,wall ball,1,15,15,NA,,
162,wall ball,2,15,15,NA,,
162,wall ball,3,15,15,NA,,
163,squat,1,175,5,6,,
163,squat,2,185,10,8.5,,
163,squat,3,185,10,8.5,,
163,squat,4,185,14,9,,
164,atg shoulder roto,1,15,12,8,,
165,kb shoulder walks,1,25,4,NA,,
166,sa kb press,1,40,10,8.5,,
167,strict press,1,95,8,9,,
167,strict press,2,95,9,9,,
167,strict press,3,95,8,10,,
168,weighted pull up,1,35,7,9,,
168,weighted pull up,2,35,6,9,,
168,weighted pull up,3,35,5,9.5,,
169,lat push down,1,40,10,7,,
170,ring row,1,0,3,9,,
169,lat push down,2,40,10,7,,
170,ring row,2,0,6,9.5,,
171,overhead rope tri,1,30,15,8.5,,
172,push ups,1,0,15,9,,
171,overhead rope tri,2,30,6,9,,
172,push ups,2,0,8,8.5,,
173,rope hammer curl,1,30,14,9,,
173,rope hammer curl,2,30,14,9.5,,
174,rope ab,1,70,10,9,,
174,rope ab,2,70,8,9,,
174,rope ab,3,70,6,9,,
175,hanging knee raise,1,0,8,8,,
175,hanging knee raise,2,0,8,8,,
175,hanging knee raise,3,0,8,8,,
176,pause front squat,1,175,5,8.5,,
176,pause front squat,2,185,5,9.5,,
176,pause front squat,3,185,5,9,,
176,pause front squat,4,195,3,9.5,,
176,pause front squat,5,195,4,9.5,,
177,walking db lunge,1,50,20,NA,,
177,walking db lunge,2,50,20,NA,,
177,walking db lunge,3,50,20,NA,,
178,sled push,1,9,10,NA,,
178,sled push,2,9,10,NA,,
178,sled push,3,9,10,NA,,
179,rope ab,1,70,10,7.5,,
180,hanging knee raise,1,0,6,8,,
179,rope ab,2,70,10,7.5,,
180,hanging knee raise,2,0,6,8,,
179,rope ab,3,70,10,7.5,,
180,hanging knee raise,3,0,6,8,,
181,power clean,1,185,3,8.5,,
181,power clean,2,185,2,8,,
182,squat,1,185,5,6,,
182,squat,2,205,1,NA,,
182,squat,3,215,12,9.5,,
183,overhead squat,1,45,10,6.5,,
183,overhead squat,2,65,10,6.5,,
183,overhead squat,3,65,12,7,,
184,front rack lunge,2,115,15,NA,,
184,front rack lunge,3,115,10,NA,,
184,front rack lunge,4,115,12,NA,,
184,front rack lunge,5,115,13,NA,,
185,db inc press,1,60,10,9,,
185,db inc press,2,60,10,9.5,,
185,db inc press,3,65,5,9.5,,
186,weighted pull ups,1,35,7,9,,
186,weighted pull ups,2,35,5,8.5,,
187,pull ups,1,0,8,9,,
188,db raise,1,20,15,8,,
188,db raise,2,20,15,8,,
189,tri push down,1,65,12,9,,
189,tri push down,2,65,12,9,,
189,tri push down,3,65,12,9,,
190,rope ab,1,72.5,12,8,,
190,rope ab,2,72.5,12,8,,
190,rope ab,3,72.5,12,8,,
191,db curl,1,20,15,8.5,,
191,db curl,2,20,15,8.5,,
191,db curl,3,20,15,8.5,,
192,ghd sit ups,1,0,12,NA,,
192,ghd sit ups,2,0,12,NA,,
192,ghd sit ups,3,0,12,NA,,
193,tempo deadlift,1,275,5,8.5,,
193,tempo deadlift,2,275,5,8.5,,
193,tempo deadlift,3,275,5,9,,
193,tempo deadlift,4,285,5,9.5,,
193,tempo deadlift,5,285,5,9.5,,
194,back extension,1,35,12,9,,
194,back extension,2,35,12,9,,
194,back extension,3,35,12,9,,
195,decline ab,1,0,15,9,,
195,decline ab,2,0,15,9.5,,
195,decline ab,3,0,15,9.5,,
196,front squat,1,175,5,8.5,,
196,front squat,2,195,4,9.5,,
196,front squat,3,195,4,9,,
196,front squat,4,195,4,9.5,,
196,front squat,5,195,2,10,,Fail 3rd
197,push jerk,1,95,10,NA,,
197,push jerk,2,95,10,NA,,
197,push jerk,3,95,10,NA,,
198,,1,120,,,,
198,,2,120,,,,
198,,3,120,,,,
199,bench,1,175,8,8.5,,
199,bench,2,185,6,8.5,,
199,bench,3,195,7,9.5,,
200,pull ups,1,0,11,9,,
201,lat pd,1,145,8,9.5,,
201,lat pd,2,145,6,9.5,,
202,inc db bench,1,60,9,9,,
202,inc db bench,2,60,8,9.5,,
203,cable row,1,130,10,8.5,,
203,cable row,2,130,10,9.5,,
204,db curl,1,15,20,9.5,,
205,squat,1,195,8,8,,
205,squat,2,195,8,8.5,,
205,squat,3,195,8,8.5,,
205,squat,4,195,8,9,,
205,squat,1,195,10,9,,
206,walking db lungs,1,45,50ft,7.5,,
206,walking db lungs,2,45,50ft,8,,
206,walking db lungs,3,45,50ft,8.5,,
207,strict press,1,95,11,9,,
207,strict press,2,105,6,9.5,,
207,strict press,3,105,6,9.5,,
208,weighted pull up,1,25,8,9,,
208,weighted pull up,2,30,8,9.5,,
208,weighted pull up,3,30,5,9.5,,
209,db inc bench,1,60,11,8,,
209,db inc bench,2,60,11,9.5,,
210,db inc curl,1,25,12,9.5,,
210,db inc curl,2,25,8,9.5,,
211,dips,1,0,12,9,,
211,dips,2,0,10,9,,
212,db skull,1,30,8,9,,
212,db skull,2,30,6,9,,
213,deadlift,1,225,5,6,,
213,deadlift,2,225,5,6,,
214,db rdl,1,75,10,8,,
214,db rdl,2,75,10,8,,
214,db rdl,3,75,10,8,,
215,back extension,1,45,8,9,,
215,back extension,2,45,8,9,,
215,back extension,3,45,8,9,,
216,decline ab,1,0,12,8.5,,
216,decline ab,2,0,15,9,,
216,decline ab,3,0,15,10,,
217,bench,1,205,8,9.5,,
217,bench,2,225,3,10,,
218,machine row,1,180,6,9,,
218,machine row,2,180,7,9,,
219,overhead v tri,1,35,20,9.5,,
219,overhead v tri,2,35,20,9.5,,
219,overhead v tri,3,35,20,9.5,,
220,dips,1,25,6,8.5,,
220,dips,2,25,6,9,,
221,db inc curl,1,25,12,8.5,,
221,db inc curl,2,25,12,9,,
222,thrusters,1,95,10,8,,
222,thrusters,2,95,10,8,,
222,thrusters,3,95,10,8,,
222,thrusters,4,95,10,8,,
222,thrusters,5,95,12,9,,
223,squat,1,225,7,8,,
223,squat,2,225,7,8.5,,
223,squat,3,225,7,8.5,,
223,squat,4,225,11,9.5,,
224,strict press,1,115,5,9,,
224,strict press,2,120,5,9.5,,
224,strict press,3,125,3,9.5,,
225,lat pd,1,145,10,8,,
